Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,0,1000000,0,7
20,0,1000000,0,7
30,29,126.18181818181819,111,7
40,29,125.30555555555556,308,11
50,30,127.42105263157895,301,11
60,77,106.91044776119404,492,11
70,77,100.9047619047619,780,17
80,77,99.50657894736842,730,21
90,86,91.1917808219178,718,22
100,87,87.70484581497797,759,22
110,87,85.19823788546256,804,22
120,95,85.16386554621849,805,22
130,113,108.56393442622951,999,25
140,114,127.89752650176679,1032,27
150,113,91.8475073313783,997,27
160,132,194.08609271523179,1143,28
170,130,505.08097165991904,1137,30
180,130,689.2730061349694,1113,32
190,138,314.42715231788077,1022,33
200,143,512.9450867052024,1247,33
210,144,879.0101351351351,1077,33
220,183,1175.3714285714286,1292,33
230,184,1144.2088607594937,1250,33
240,185,1280.7320872274142,1302,33
250,202,2024.1480362537764,1278,33
260,199,1867.7232704402516,1264,33
270,203,1502.0984615384616,1305,33
280,202,1511.9913043478261,1334,33
290,186,1224.3423423423424,1346,33
300,184,1960.7150997150998,1358,33
310,185,1002.0719178082192,1218,33
320,145,443.35185185185185,1296,33
330,145,952.0939947780679,1328,33
340,146,860.6715328467153,1297,33
350,132,3458.720620842572,1289,33
360,131,2457.3197115384614,1368,33
370,131,901.7823960880196,1379,33
380,113,4882.0952380952385,1333,34
390,113,1953.038062283737,1010,38
400,113,479.5907335907336,928,41
410,85,634.5032467532468,979,44
420,86,290.2139737991266,718,42
430,85,141.26171875,790,38
440,86,108.62921348314607,753,34
450,77,117.05803571428571,675,31
460,77,97.76348547717842,676,26
470,77,91.57339449541284,726,22
480,30,116.6470588235294,322,18
490,30,129.15,252,14
500,30,123.11764705882354,241,11
510,0,132.875,50,9
520,0,1000000,0,7
530,0,1000000,0,7
540,0,1000000,0,7
550,0,1000000,0,7
560,0,1000000,0,7
570,0,1000000,0,7
580,0,1000000,0,7
590,0,1000000,0,7
600,0,1000000,0,7
610,0,1000000,0,7
620,0,1000000,0,7
630,0,1000000,0,7
640,0,1000000,0,7
650,0,1000000,0,7
660,0,1000000,0,7
670,0,1000000,0,7
680,0,1000000,0,7
690,0,1000000,0,7
