Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,28,131.6875,259,12
20,27,135.91666666666666,290,13
30,25,130.18421052631578,278,15
40,38,225.03703703703704,615,21
50,28,226.91869918699186,693,25
60,17,191.24271844660194,692,22
70,12,168.37383177570092,786,26
80,1,174.08064516129033,855,31
90,85,140.72992700729927,774,31
100,111,206.88888888888889,862,33
110,109,1117.16,697,32
120,107,2951.2444444444445,1391,34
130,43,2970.3939393939395,984,37
140,126,2602.2537313432836,1769,39
150,129,1585.1555555555556,1163,43
160,117,2709.52,1273,45
170,135,1835.6774193548388,1115,51
180,140,1807.032786885246,1069,52
190,117,2490.3977272727275,1284,51
200,176,2860.6184210526317,1356,51
210,175,8458.659420289856,1405,51
220,161,3215.3274336283184,1229,51
230,137,1664.4470588235295,1423,49
240,198,4655.742268041237,1299,47
250,195,3763.390243902439,1278,47
260,199,3961.6493506493507,1531,45
270,171,7815.890243902439,1569,47
280,178,1866.9473684210527,1823,47
290,179,3698.7676767676767,1671,47
300,141,5589.294871794872,1354,47
310,142,3891.084745762712,1169,47
320,142,1016.2300884955753,2090,46
330,140,4312.3385826771655,2463,45
340,128,2379.097345132743,2022,45
350,31,1844.69,1796,44
360,17,327.520325203252,1513,45
370,5,136.38260869565218,1118,43
380,112,223.12962962962962,969,45
390,111,235.27272727272728,1101,43
400,84,241.94117647058823,1057,42
410,86,114.26829268292683,866,35
420,85,108.56756756756756,894,30
430,77,101.14084507042253,850,26
440,77,99.47368421052632,775,27
450,76,594.7263157894737,763,30
460,31,230.734375,807,37
470,16,134.5,303,31
480,15,123.38888888888889,331,18
490,0,126.375,333,20
500,0,1000000,0,11
510,0,1000000,0,9
520,0,1000000,0,9
530,0,1000000,0,9
540,0,1000000,0,9
