Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,0,1000000,0,7
20,30,132.4,82,7
30,29,126.82608695652173,331,11
40,29,126.45098039215686,291,11
50,77,110.23333333333333,386,11
60,77,103.53488372093024,767,16
70,76,139.79562043795622,738,22
80,82,108.37055837563452,653,22
90,87,95.04237288135593,769,22
100,87,85.80341880341881,788,22
110,87,84.13215859030836,779,22
120,113,151.68115942028984,930,25
130,114,118.1270358306189,970,27
140,114,95.01298701298701,1073,27
150,131,173.10097719869708,975,28
160,131,472.83666666666664,1158,30
170,131,463.0571428571429,1118,31
180,145,1020.8526645768025,1170,31
190,146,1337.927672955975,1189,31
200,145,1386.1686746987953,1200,32
210,185,726.8615384615384,1247,32
220,185,876.9954751131222,1216,32
230,181,1190.3979591836735,1077,32
240,187,1168.392523364486,1239,32
250,202,1125.7834101382489,1250,33
260,202,2125.075630252101,1178,33
270,202,2004.4962686567164,1029,33
280,183,2566.0141843971633,1086,33
290,181,1918.1132075471698,1215,33
300,183,2633.707395498392,1203,33
310,146,3535.826797385621,1307,33
320,145,3539.6693548387098,1171,33
330,144,9497.324324324325,1199,33
340,132,3823.5524296675194,1301,33
350,131,9510.29974811083,1318,33
360,131,9537.379134860052,1325,33
370,131,5677.278260869565,547,33
380,113,5956.923344947735,914,33
390,108,9543.384905660378,959,33
400,102,6759.39603960396,954,33
410,85,3653.983286908078,1177,32
420,86,1624.6537102473499,859,29
430,85,98.12272727272727,762,25
440,77,853.3034825870647,809,22
450,78,100.67455621301775,611,22
460,75,144.72429906542055,718,22
470,30,115.91666666666667,399,19
480,29,126.44827586206897,260,14
490,30,121.92682926829268,267,11
500,0,125.14285714285714,77,10
