Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,0
10,0,1000000,0,0
20,0,1000000,0,0
30,0,1000000,0,0
40,30,129.16666666666666,139,0
50,77,94.35897435897436,551,0
60,77,77.29032258064517,810,0
70,77,83.12698412698413,819,3
80,85,82.03937007874016,701,4
90,85,78.9776119402985,713,4
100,86,79.28030303030303,734,4
110,113,77.41605839416059,730,4
120,110,108.25961538461539,961,9
130,113,85.4017094017094,1059,9
140,114,93.56502242152466,1049,9
150,127,106.12062256809338,1168,9
160,130,171.06513409961687,1152,9
170,130,97.89772727272727,1090,9
180,140,266.39406779661016,1291,9
190,164,679.195744680851,1116,9
200,158,721.85140562249,1227,10
210,162,929.3553719008264,1032,10
220,182,826.7926267281106,776,10
230,164,1894.28880866426,1148,10
240,163,1417.2395833333333,1329,10
250,216,1723.9756097560976,815,10
260,210,1249.3607843137254,1037,10
270,213,2482.003472222222,1354,10
280,216,817.4641638225256,1451,10
290,213,1882.2396694214876,1232,10
300,210,1706.3297872340424,1420,10
310,263,1788.475,1075,10
320,255,1501.3526315789475,908,10
330,259,1955.3652968036529,1072,10
340,256,3029.05737704918,1073,11
350,262,4339.492063492064,1009,11
360,257,2166.8993710691825,1085,11
370,263,1638.739837398374,877,11
380,164,2167.065476190476,1210,11
390,164,5172.644549763033,1651,11
400,160,2097.648,893,11
410,132,2033.0675675675675,1138,11
420,131,6654.661354581674,1167,11
430,129,7437.784172661871,1308,11
440,129,7883.1292134831465,1216,11
450,112,15803.776699029126,1408,11
460,107,14578.756906077348,1311,11
470,111,8242.673267326732,1254,11
480,84,16739.174757281555,1102,11
490,84,129.0441176470588,756,11
500,84,126.01075268817205,836,7
510,77,95.9568345323741,802,3
520,76,82.48461538461538,761,3
530,75,78.74782608695652,813,3
540,29,83.46236559139786,657,3
550,0,123.6,223,0
560,0,1000000,0,0
570,0,1000000,0,0
580,0,1000000,0,0
590,0,1000000,0,0
