Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,0
10,0,1000000,0,0
20,0,1000000,0,0
30,0,1000000,0,0
40,0,1000000,0,0
50,0,1000000,0,0
60,0,1000000,0,0
70,0,1000000,0,0
80,0,1000000,0,0
90,0,1000000,0,0
100,0,1000000,0,0
110,29,124.33333333333333,56,0
120,70,257.76666666666665,342,1
130,76,365.46153846153845,791,3
140,75,209.2111111111111,799,1
150,76,537.5432098765432,730,6
160,84,168.5,877,5
170,81,324.80898876404495,825,1
180,84,241.04,833,4
190,112,244.2622950819672,920,5
200,111,859.9435483870968,769,7
210,111,891.4671532846716,1183,7
220,128,209.95,1002,5
230,126,1932.8947368421052,1150,4
240,121,2044.0545454545454,743,9
250,158,1820.2068965517242,1336,8
260,160,2574.59649122807,953,10
270,156,2018.9775280898875,1101,8
280,163,3483.568,2064,4
290,157,2252.469298245614,1319,7
300,160,1247.171717171717,930,10
310,163,2175.663551401869,696,13
320,207,3009.3064516129034,1063,9
330,206,3526.0793650793653,1572,10
340,206,3729.1052631578946,1751,10
350,296,5553.15,335,9
360,184,6912.144578313253,632,8
370,212,8106.59793814433,1613,3
380,205,5988.938356164384,1911,3
390,254,9572.261627906977,848,7
400,242,11522.205714285714,956,9
410,233,7777.30985915493,708,11
420,337,6904.780219780219,1099,8
430,260,5430.963636363636,1676,7
440,268,13655.673076923076,1043,8
450,257,19043.01785714286,1430,9
460,165,8711.892655367232,1462,8
470,153,10861.94366197183,1294,7
480,204,11667.151515151516,706,8
490,163,25140.869918699187,1490,12
500,128,24185.663265306124,704,14
510,127,3955.360465116279,1716,13
520,331,5772.376068376068,1039,10
530,111,7757.668604651163,2041,8
540,110,30914,1377,11
550,110,2051.631067961165,1247,10
560,84,584.3463203463203,1099,10
570,84,627.6993464052288,920,5
580,86,263.7910447761194,850,5
590,77,115.3529411764706,832,4
600,77,181.78947368421052,771,4
610,76,122.54761904761905,787,3
620,75,129.9090909090909,773,4
630,30,182.67857142857142,332,2
640,0,100,28,1
650,0,1000000,0,1
660,0,1000000,0,1
670,0,1000000,0,1
680,0,1000000,0,1
690,0,1000000,0,1
