Time(secs),Inbound workload,Latency(ms),Message loss
0,0,1000000,0
10,0,1000000,0
20,0,1000000,0
30,0,1000000,0
40,0,1000000,0
50,0,1000000,0
60,0,1000000,0
70,0,1000000,0
80,30,160.05555555555554,0
90,29,227.69791666666666,0
100,77,140.77319587628867,0
110,82,105.12096774193549,0
120,87,99.55281690140845,0
130,113,93.84660766961652,0
140,114,85.2554347826087,0
150,132,77.95203836930456,0
160,139,74.4876404494382,0
170,143,219.13636363636363,61
180,146,78.71084337349397,0
190,146,72.65677966101696,0
200,147,82.10077519379846,0
210,146,81.92397660818713,0
220,131,80.19004524886878,0
230,130,95.41121495327103,0
240,130,131.82110091743118,0
250,111,262.48,0
260,85,212.66,0
