Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,30,125.8,238,7
20,77,106.97058823529412,462,7
30,76,80.09615384615384,832,7
40,86,75.45454545454545,880,7
50,114,73.32786885245902,979,7
60,114,67.44047619047619,1279,7
70,131,63.16129032258065,1342,7
80,133,61.300970873786405,1475,7
90,147,72.84,1629,7
100,146,60.93162393162393,1613,7
110,147,63.85436893203884,1601,7
120,146,86.08403361344538,1562,7
130,146,61.921052631578945,1594,7
140,133,60.3728813559322,1498,7
150,133,60.956989247311824,1503,7
160,132,59.526881720430104,1490,7
170,115,61.275510204081634,1383,7
180,114,63.48780487804878,1252,7
190,86,71.52941176470588,986,7
200,76,71.0377358490566,965,7
210,76,63.333333333333336,842,7
220,29,97.81818181818181,495,7
230,10,129.23529411764707,265,7
240,0,1000000,0,7
250,0,1000000,0,7
